session_id,user_id,anonymous_id,started_at,ended_at,duration_seconds,device_type,platform,country,referrer,_source_system,_ingested_at,_batch_id
ses_11ab3d11,usr_b34191b8,anon_081fc6dc,2026-05-01 08:44:59,2026-05-01 09:32:37,2858,desktop,android,US,google,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_c4db5a62,usr_d21c82f8,anon_fa740cc8,2026-05-01 08:51:30,2026-05-01 09:12:54,1284,mobile,web,AU,facebook,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_6b9cd71c,usr_4f199ec0,anon_61ea2f30,2026-05-01 12:02:37,2026-05-01 12:27:08,1471,mobile,android,DE,google,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_e821e716,usr_f0e98b3b,anon_aec76a82,2026-05-01 04:21:10,2026-05-01 05:12:22,3072,desktop,ios,DE,direct,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_8a0f9508,usr_6f81cf4f,anon_59077299,2026-05-01 21:27:58,2026-05-01 22:20:21,3143,mobile,ios,DE,email,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_8989c5ab,usr_939b462d,anon_ba54e920,2026-05-01 11:00:18,2026-05-01 11:01:45,87,mobile,ios,US,,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_00e3a026,usr_ce9e1a11,anon_4c61845e,2026-05-01 23:13:26,2026-05-02 00:13:13,3587,mobile,ios,FR,facebook,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_8b60c511,usr_32a447b2,anon_d2c7bffb,2026-05-01 06:42:44,2026-05-01 06:46:44,240,desktop,ios,CA,facebook,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_589decb0,usr_01fa964e,anon_effa2002,2026-05-01 22:55:02,2026-05-01 23:42:23,2841,mobile,web,FR,google,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_1ce362f8,usr_ef8c485b,anon_6b535a19,2026-05-01 20:19:07,2026-05-01 21:11:48,3161,desktop,web,DE,,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_e23ddfaa,usr_4b943e30,anon_34c1c3ea,2026-05-01 10:49:34,2026-05-01 11:48:47,3553,mobile,web,US,,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_08987462,usr_e7067ef4,anon_b40a9181,2026-05-01 07:33:55,2026-05-01 08:17:07,2592,desktop,ios,DE,direct,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_bd9419aa,usr_dbccc477,anon_3bfda8a6,2026-05-01 00:05:50,2026-05-01 00:34:13,1703,desktop,android,US,direct,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_dd1d6cd1,usr_cc3ebdde,anon_80ff5173,2026-05-01 16:31:50,2026-05-01 16:37:11,321,tablet,web,DE,facebook,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_d0d75e37,,anon_51a3ac26,2026-05-01 08:11:06,2026-05-01 08:55:48,2682,mobile,ios,CA,google,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_ac2b0cfc,usr_88bd13d1,anon_4d406f1b,2026-05-01 21:39:53,2026-05-01 22:31:30,3097,tablet,android,CA,facebook,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_a903ae67,usr_81f38dd4,anon_4ceda164,2026-05-01 14:39:17,2026-05-01 14:58:22,1145,mobile,ios,US,facebook,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_f2d2393f,usr_a1a27485,anon_e95d2761,2026-05-01 09:06:56,2026-05-01 09:09:11,135,tablet,web,US,email,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_6d5d0477,usr_b34191b8,anon_f8e8035b,2026-05-01 06:22:42,2026-05-01 06:55:19,1957,mobile,android,GB,,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_abdd1a8f,usr_f28e4122,anon_519894d8,2026-05-01 17:54:11,2026-05-01 18:00:54,403,mobile,android,CA,direct,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_26332018,usr_a1c7cc8a,anon_c12169db,2026-05-01 18:02:22,2026-05-01 18:22:32,1210,mobile,web,US,facebook,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_d96e684f,,anon_b523c0de,2026-05-01 09:11:22,2026-05-01 09:33:56,1354,desktop,web,US,,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_ea2c7a51,usr_287d06ca,anon_f7c0d5f7,2026-05-01 06:49:46,2026-05-01 07:25:39,2153,desktop,web,BR,google,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_2253e706,usr_4f199ec0,anon_340de049,2026-05-01 04:46:12,2026-05-01 05:06:21,1209,desktop,ios,US,,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_ec170298,usr_56ab087a,anon_17abb863,2026-05-01 05:45:58,2026-05-01 06:07:40,1302,desktop,ios,DE,google,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_30c36756,usr_ef8c485b,anon_ac75c344,2026-05-01 23:34:56,2026-05-02 00:32:14,3438,tablet,android,FR,facebook,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_dfa59722,usr_38ab854c,anon_c2fe8954,2026-05-01 08:52:26,2026-05-01 09:24:06,1900,mobile,web,GB,google,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_8f10d33e,usr_d4d60735,anon_de95d695,2026-05-01 15:06:27,2026-05-01 15:30:09,1422,desktop,ios,FR,email,event_tracker,2026-05-01 23:00:00,batch_20260501
ses_ac2b0cfc,usr_88bd13d1,anon_4d406f1b,2026-05-01 21:39:53,2026-05-01 22:31:30,3097,tablet,android,CA,facebook,event_tracker,2026-05-01 23:05:00,batch_20260501
ses_26332018,usr_a1c7cc8a,anon_c12169db,2026-05-01 18:02:22,2026-05-01 18:22:32,1210,mobile,web,US,facebook,event_tracker,2026-05-01 23:05:00,batch_20260501
ses_fd85d7fa,usr_dafec8a9,anon_862138ad,2026-05-02 19:41:52,2026-05-02 19:44:49,177,mobile,web,FR,direct,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_13075157,usr_12e89d10,anon_0c6b7074,2026-05-02 03:35:03,2026-05-02 04:27:27,3144,desktop,android,GB,email,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_2332a50e,usr_1c11f735,anon_116658ce,2026-05-02 11:48:36,2026-05-02 12:43:27,3291,mobile,android,GB,direct,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_37fe032c,usr_1d2324e6,anon_0f79a8a7,2026-05-02 06:33:20,2026-05-02 06:45:26,726,desktop,android,DE,facebook,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_ef145064,usr_f1eedba3,anon_a8c6dbc0,2026-05-02 08:27:13,2026-05-02 08:59:11,1918,mobile,web,US,facebook,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_883f13c6,usr_5fbbf0b1,anon_04482a22,2026-05-02 19:54:03,2026-05-02 20:05:20,677,tablet,web,FR,facebook,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_892621df,usr_336749b5,anon_80913ac1,2026-05-02 10:59:59,2026-05-02 11:14:04,845,desktop,ios,DE,facebook,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_6e3a0ba8,usr_01fa964e,anon_2de46e91,2026-05-02 10:46:20,2026-05-02 11:34:34,2894,tablet,web,JP,email,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_863e1f2a,,anon_9ea9f508,2026-05-02 01:47:08,2026-05-02 02:29:01,2513,desktop,android,DE,,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_5abca6e5,usr_236c7b87,anon_143a9aff,2026-05-02 23:10:42,2026-05-02 23:24:10,808,desktop,web,GB,google,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_7580e050,usr_23377bbc,anon_b27e1442,2026-05-02 01:26:07,2026-05-02 01:47:42,1295,mobile,android,GB,google,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_d3fbe043,usr_9e50aa42,anon_fdde64af,2026-05-02 15:07:40,2026-05-02 15:20:09,749,desktop,android,FR,direct,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_081c79d4,usr_fb37afae,anon_608e2f5c,2026-05-02 17:32:36,2026-05-02 18:28:09,3333,desktop,ios,BR,google,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_a301ec03,,anon_152aeaec,2026-05-02 08:12:51,2026-05-02 09:12:04,3553,desktop,android,AU,google,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_a518a418,usr_d8f56413,anon_fa323f69,2026-05-02 09:37:43,2026-05-02 10:14:50,2227,mobile,web,FR,,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_e5110961,usr_15b02530,anon_3ad1fa33,2026-05-02 13:31:29,2026-05-02 13:39:22,473,mobile,web,AU,,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_b139c476,usr_6c52c49f,anon_45667c48,2026-05-02 23:08:03,2026-05-03 00:04:47,3404,desktop,web,JP,google,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_af36b8cc,,anon_8b040f53,2026-05-02 01:21:17,2026-05-02 01:42:33,1276,mobile,ios,GB,facebook,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_2dea2d2d,usr_ef2ddcc4,anon_04022b3c,2026-05-02 19:40:04,2026-05-02 20:09:10,1746,desktop,android,CA,facebook,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_24e9bcfd,usr_6f81cf4f,anon_d226a8b3,2026-05-02 01:11:28,2026-05-02 01:59:05,2857,mobile,ios,AU,google,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_4c9d6907,usr_7f9d3e64,anon_9112fbc0,2026-05-02 19:49:24,2026-05-02 20:33:55,2671,mobile,ios,CA,facebook,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_ad5229dd,,anon_6243bed7,2026-05-02 07:43:21,2026-05-02 08:27:39,2658,tablet,ios,AU,direct,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_ca5e151b,usr_80bbae52,anon_1413d64d,2026-05-02 20:33:20,2026-05-02 20:47:50,870,desktop,ios,DE,direct,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_588a3f87,usr_f1eedba3,anon_3b6dca0d,2026-05-02 21:41:56,2026-05-02 21:42:37,41,tablet,ios,FR,direct,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_9aec56a8,,anon_9879cf35,2026-05-02 00:56:19,,569,desktop,ios,AU,google,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_538d6b8c,usr_287d06ca,anon_c8969c5b,2026-05-02 04:36:54,2026-05-02 05:28:02,3068,mobile,ios,BR,facebook,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_3a67470c,usr_80fb9296,anon_601bfbcb,2026-05-02 21:36:52,2026-05-02 21:44:48,476,mobile,web,US,,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_95fbe976,usr_23377bbc,anon_c5acc354,2026-05-02 01:08:02,2026-05-02 01:12:41,279,desktop,android,CA,facebook,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_3f175534,usr_4b943e30,anon_4499d0a6,2026-05-02 02:40:32,2026-05-02 02:46:32,360,mobile,ios,FR,,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_c8ad0899,usr_4f199ec0,anon_63be441d,2026-05-02 11:50:22,2026-05-02 12:16:52,1590,desktop,android,JP,google,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_176de21f,usr_3f07f814,anon_71da35b9,2026-05-02 23:50:14,2026-05-03 00:35:10,2696,desktop,ios,JP,facebook,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_1a2bd69c,usr_43d88870,anon_6e54ac6d,2026-05-02 12:20:24,2026-05-02 13:17:23,3419,mobile,ios,AU,facebook,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_832f52c4,usr_d6d7b3b8,anon_16f142a2,2026-05-02 13:37:40,2026-05-02 13:48:35,655,mobile,ios,CA,google,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_98d00c2c,usr_92ec89af,anon_dd1ca267,2026-05-02 13:34:03,2026-05-02 14:29:58,3355,mobile,web,AU,google,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_69ef74e3,usr_ef2ddcc4,anon_b98f5dbe,2026-05-02 15:23:55,2026-05-02 16:23:40,3585,mobile,android,FR,email,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_fe2390f3,,anon_85671b58,2026-05-02 18:28:27,2026-05-02 18:43:28,901,mobile,ios,AU,,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_2b64777c,usr_b34191b8,anon_44b64ec1,2026-05-02 10:08:32,2026-05-02 10:48:13,2381,mobile,web,US,,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_2ace1aa9,usr_32399ffb,anon_4cbc9044,2026-05-02 09:44:14,2026-05-02 09:46:42,148,desktop,android,AU,email,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_5c72aebd,,anon_b88cddde,2026-05-02 05:12:56,2026-05-02 05:52:05,2349,mobile,web,US,google,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_9dde0188,usr_be6033f7,anon_22af711f,2026-05-02 13:41:48,2026-05-02 14:10:57,1749,mobile,android,AU,,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_654c11d9,usr_287d06ca,anon_614077d3,2026-05-02 05:39:52,2026-05-02 05:51:06,674,mobile,ios,FR,facebook,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_70b27304,usr_dafec8a9,anon_d2d33488,2026-05-02 22:06:10,2026-05-02 22:36:50,1840,mobile,web,CA,email,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_982a2277,usr_cc3ebdde,anon_9a6c0db9,2026-05-02 21:35:43,2026-05-02 22:09:26,2023,mobile,ios,JP,,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_7aa061e9,,anon_65f30779,2026-05-02 07:26:34,2026-05-02 07:47:38,1264,desktop,android,FR,email,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_bc20b9f2,,anon_f7bf5244,2026-05-02 18:06:33,2026-05-02 18:58:02,3089,mobile,web,DE,,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_536d47d7,usr_ef2ddcc4,anon_c92e8c93,2026-05-02 12:53:41,2026-05-02 12:59:06,325,desktop,android,US,facebook,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_ee9bf3e1,usr_f0e98b3b,anon_ff4cc10f,2026-05-02 20:57:45,2026-05-02 21:27:33,1788,desktop,android,FR,google,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_c4829b71,usr_9e50aa42,anon_ba2aa7ba,2026-05-02 06:15:27,2026-05-02 07:10:39,3312,mobile,web,AU,google,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_35ab8466,usr_bf7b539b,anon_d4cee27c,2026-05-02 08:51:31,2026-05-02 09:21:45,1814,desktop,android,FR,email,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_d908a121,usr_8d2238e6,anon_ac484366,2026-05-02 06:07:17,2026-05-02 06:12:59,342,mobile,web,DE,email,event_tracker,2026-05-02 23:00:00,batch_20260502
ses_ca5e151b,usr_80bbae52,anon_1413d64d,2026-05-02 20:33:20,2026-05-02 20:47:50,870,desktop,ios,DE,direct,event_tracker,2026-05-02 23:05:00,batch_20260502
ses_ee9bf3e1,usr_f0e98b3b,anon_ff4cc10f,2026-05-02 20:57:45,2026-05-02 21:27:33,1788,desktop,android,FR,google,event_tracker,2026-05-02 23:05:00,batch_20260502
ses_34ae4abd,usr_8d2238e6,anon_cf08ea54,2026-05-03 12:19:10,2026-05-03 13:06:00,2810,desktop,web,AU,google,event_tracker,2026-05-03 23:00:00,batch_20260503
ses_1a0c6c04,usr_b8ba8368,anon_2fdc9992,2026-05-03 14:04:27,2026-05-03 14:24:20,1193,desktop,web,GB,email,event_tracker,2026-05-03 23:00:00,batch_20260503
ses_75220646,,anon_dcd5bfae,2026-05-03 05:08:57,2026-05-03 05:33:19,1462,desktop,web,JP,direct,event_tracker,2026-05-03 23:00:00,batch_20260503
ses_a39c9ec6,usr_7914c120,anon_9c7eb575,2026-05-03 11:16:17,2026-05-03 11:54:56,2319,desktop,ios,CA,facebook,event_tracker,2026-05-03 23:00:00,batch_20260503
ses_591196dc,usr_146d3f31,anon_9e0b7b01,2026-05-03 13:12:06,2026-05-03 13:33:41,1295,mobile,android,DE,direct,event_tracker,2026-05-03 23:00:00,batch_20260503
ses_b4bba73f,usr_e256a6dc,anon_9d4edb71,2026-05-03 02:48:34,2026-05-03 03:09:15,1241,mobile,web,US,email,event_tracker,2026-05-03 23:00:00,batch_20260503
ses_224a66a6,usr_812a1f9b,anon_4e2d6255,2026-05-03 04:46:16,2026-05-03 05:27:32,2476,mobile,web,GB,facebook,event_tracker,2026-05-03 23:00:00,batch_20260503
ses_b1850eb8,,anon_6b11b7cb,2026-05-03 13:15:49,2026-05-03 14:02:29,2800,tablet,web,FR,facebook,event_tracker,2026-05-03 23:00:00,batch_20260503
ses_623ad0fc,usr_cc530e36,anon_a2b03c4b,2026-05-03 11:16:02,2026-05-03 12:11:44,3342,tablet,ios,AU,,event_tracker,2026-05-03 23:00:00,batch_20260503
ses_a52fc3ec,usr_6502d6a2,anon_8e0ec033,2026-05-03 10:15:32,2026-05-03 11:09:09,3217,desktop,ios,DE,,event_tracker,2026-05-03 23:00:00,batch_20260503
ses_23ea7956,,anon_7374ccbf,2026-05-03 09:06:08,2026-05-03 09:10:11,243,desktop,web,CA,,event_tracker,2026-05-03 23:00:00,batch_20260503
ses_5be9fdb3,usr_cc3ebdde,anon_22f3f068,2026-05-03 03:03:13,2026-05-03 03:55:48,3155,mobile,web,GB,facebook,event_tracker,2026-05-03 23:00:00,batch_20260503
ses_f6bd80c7,,anon_7eb6581e,2026-05-03 08:05:02,2026-05-03 09:01:17,3375,mobile,ios,JP,google,event_tracker,2026-05-03 23:00:00,batch_20260503
ses_6a66c184,usr_7f9d3e64,anon_7d1b695e,2026-05-03 08:35:03,2026-05-03 09:01:54,1611,mobile,ios,AU,google,event_tracker,2026-05-03 23:00:00,batch_20260503
ses_07e67cb0,usr_9feefdff,anon_4ac66780,2026-05-03 12:12:27,2026-05-03 13:06:58,3271,mobile,android,GB,facebook,event_tracker,2026-05-03 23:00:00,batch_20260503
ses_89a0b7eb,usr_06cb0fb3,anon_751303b9,2026-05-03 02:53:04,2026-05-03 02:54:51,107,desktop,web,JP,google,event_tracker,2026-05-03 23:00:00,batch_20260503
ses_c4134dc2,usr_cc530e36,anon_1cfb655f,2026-05-03 10:57:52,,529,mobile,web,BR,google,event_tracker,2026-05-03 23:00:00,batch_20260503
ses_c66dceb3,,anon_5deaa737,2026-05-03 18:11:53,2026-05-03 18:53:07,2474,desktop,web,DE,direct,event_tracker,2026-05-03 23:00:00,batch_20260503
ses_0aa6fcb9,usr_06cb0fb3,anon_8bddcee3,2026-05-03 22:23:04,2026-05-03 22:47:39,1475,mobile,web,CA,,event_tracker,2026-05-03 23:00:00,batch_20260503
ses_1a37f6bd,usr_6c52c49f,anon_c0582da5,2026-05-03 19:09:11,2026-05-03 19:46:49,2258,tablet,web,US,facebook,event_tracker,2026-05-03 23:00:00,batch_20260503
ses_ffd2f491,usr_1c11f735,anon_593c572b,2026-05-03 23:08:38,2026-05-03 23:35:32,1614,mobile,ios,AU,google,event_tracker,2026-05-03 23:00:00,batch_20260503
ses_7066e289,usr_a9320094,anon_c68fcba5,2026-05-03 23:55:27,2026-05-04 00:38:50,2603,desktop,android,GB,google,event_tracker,2026-05-03 23:00:00,batch_20260503
ses_cf8a368e,usr_32a447b2,anon_59c2f153,2026-05-03 23:24:12,2026-05-03 23:36:39,747,desktop,web,BR,direct,event_tracker,2026-05-03 23:00:00,batch_20260503
ses_a1fd4187,usr_6c52c49f,anon_23a4e70e,2026-05-03 16:39:48,2026-05-03 16:42:49,181,mobile,ios,US,email,event_tracker,2026-05-03 23:00:00,batch_20260503
ses_34fa32b6,usr_80fb9296,anon_59cf0b0d,2026-05-03 14:29:56,2026-05-03 15:26:05,3369,mobile,web,DE,email,event_tracker,2026-05-03 23:00:00,batch_20260503
ses_89ecbc51,usr_8d2238e6,anon_b43cde0a,2026-05-03 01:44:25,2026-05-03 02:44:01,3576,mobile,android,JP,facebook,event_tracker,2026-05-03 23:00:00,batch_20260503
ses_44709848,usr_ebff8d15,anon_fc48f615,2026-05-03 12:20:38,2026-05-03 12:33:53,795,mobile,web,FR,google,event_tracker,2026-05-03 23:00:00,batch_20260503
ses_1860ad28,usr_7914c120,anon_c9230c64,2026-05-03 15:40:40,2026-05-03 16:22:17,2497,mobile,android,AU,google,event_tracker,2026-05-03 23:00:00,batch_20260503
ses_fe1393cd,,anon_207bbe21,2026-05-03 10:45:50,2026-05-03 11:07:15,1285,desktop,ios,BR,email,event_tracker,2026-05-03 23:00:00,batch_20260503
ses_3fead90a,usr_a9320094,anon_d4176230,2026-05-03 12:50:10,2026-05-03 13:32:38,2548,mobile,ios,CA,facebook,event_tracker,2026-05-03 23:00:00,batch_20260503
ses_ad1db537,usr_4ddb1b36,anon_93d228d4,2026-05-03 05:49:29,2026-05-03 05:52:06,157,desktop,android,US,direct,event_tracker,2026-05-03 23:00:00,batch_20260503
ses_6a0aa7d5,,anon_a2356dd4,2026-05-03 23:29:22,2026-05-03 23:54:52,1530,tablet,ios,GB,facebook,event_tracker,2026-05-03 23:00:00,batch_20260503
ses_17d50f59,usr_7f9d3e64,anon_4739cc7b,2026-05-03 16:09:48,2026-05-03 17:02:23,3155,mobile,android,JP,email,event_tracker,2026-05-03 23:00:00,batch_20260503
ses_5e7b72c8,usr_53cd6268,anon_53c93ae7,2026-05-03 04:07:49,2026-05-03 04:10:05,136,mobile,android,CA,email,event_tracker,2026-05-03 23:00:00,batch_20260503
ses_c62dbaea,usr_56ab087a,anon_bb1e5ae8,2026-05-03 16:14:53,2026-05-03 16:30:01,908,mobile,android,DE,google,event_tracker,2026-05-03 23:00:00,batch_20260503
ses_aa055442,,anon_1036708d,2026-05-03 02:41:46,2026-05-03 03:13:07,1881,desktop,ios,AU,email,event_tracker,2026-05-03 23:00:00,batch_20260503
ses_37c3b3c9,usr_4f199ec0,anon_363be5cb,2026-05-03 19:44:23,2026-05-03 20:04:42,1219,desktop,web,GB,email,event_tracker,2026-05-03 23:00:00,batch_20260503
ses_d40e53ce,usr_ef8c485b,anon_93f37596,2026-05-03 07:19:02,2026-05-03 08:13:36,3274,desktop,ios,AU,,event_tracker,2026-05-03 23:00:00,batch_20260503
ses_7c3f1add,usr_6502d6a2,anon_aebbb90e,2026-05-03 20:05:05,2026-05-03 20:14:26,561,mobile,android,JP,facebook,event_tracker,2026-05-03 23:00:00,batch_20260503
ses_197dbae1,usr_10d4de39,anon_75a72686,2026-05-03 14:54:25,2026-05-03 15:51:07,3402,mobile,android,CA,facebook,event_tracker,2026-05-03 23:00:00,batch_20260503
ses_db8f0e32,usr_9fd34579,anon_002c4c22,2026-05-03 12:32:36,2026-05-03 12:41:51,555,desktop,web,GB,direct,event_tracker,2026-05-03 23:00:00,batch_20260503
ses_33cb202e,usr_04fc6d82,anon_21c50e41,2026-05-03 04:31:14,2026-05-03 05:07:06,2152,mobile,android,DE,email,event_tracker,2026-05-03 23:00:00,batch_20260503
ses_28b2bf21,usr_9fd34579,anon_462623be,2026-05-03 10:20:30,2026-05-03 11:18:44,3494,mobile,web,FR,direct,event_tracker,2026-05-03 23:00:00,batch_20260503
ses_40198303,usr_8de7ad6c,anon_e75f745a,2026-05-03 19:25:24,2026-05-03 19:32:16,412,mobile,web,GB,direct,event_tracker,2026-05-03 23:00:00,batch_20260503
