transaction_id,user_id,session_id,product_id,amount,currency,status,event_at,updated_at,refund_amount,refunded_at,refund_reason,_source_system,_ingested_at
txn_4fd80bbb,usr_c19ad58c,ses_dc08bf29,prd_1f33242d,48.09,USD,completed,2026-05-02 02:55:36,2026-05-02 02:55:36,,,,payments,2026-05-02 23:00:00
txn_34f541c0,usr_ce9e1a11,ses_c16f9bcc,prd_ab7a3d1c,168.56,USD,completed,2026-05-02 20:41:08,2026-05-02 20:41:08,,,,payments,2026-05-02 23:00:00
txn_79e5c9aa,usr_38ab854c,ses_5c238d8d,prd_e0723d96,210.77,USD,completed,2026-05-02 02:29:25,2026-05-02 02:29:25,,,,payments,2026-05-02 23:00:00
txn_b25f13df,usr_d6d7b3b8,ses_c4da2c2e,prd_41a64fed,66.05,USD,completed,2026-05-02 23:58:47,2026-05-02 23:58:47,,,,payments,2026-05-02 23:00:00
txn_4cde1b6b,usr_c19ad58c,ses_5a9a206a,prd_ab7a3d1c,168.56,USD,refunded,2026-05-02 03:50:10,2026-05-03 12:00:00,168.56,2026-05-03 12:00:00,fraud,payments,2026-05-03 23:00:00
txn_1d763a66,usr_adedda80,ses_b719bb68,prd_83c501cb,170.94,USD,completed,2026-05-02 01:35:37,2026-05-02 01:35:37,,,,payments,2026-05-02 23:00:00
txn_a5e15b55,usr_336749b5,ses_277b0667,prd_7bf33a34,41.15,USD,completed,2026-05-02 18:40:46,2026-05-02 18:40:46,,,,payments,2026-05-02 23:00:00
txn_6dec6bbd,usr_d4d60735,ses_7eccdaf4,prd_41a64fed,65.03,USD,completed,2026-05-03 02:06:28,2026-05-03 02:06:28,,,,payments,2026-05-03 23:00:00
txn_3f6eed9d,usr_a1a27485,ses_c28fa16b,prd_a723fb72,155.1,USD,completed,2026-05-03 05:50:04,2026-05-03 05:50:04,,,,payments,2026-05-03 23:00:00
txn_3f87dfc2,usr_ef8c485b,ses_0840405a,prd_41a64fed,65.03,USD,completed,2026-05-03 09:42:39,2026-05-03 09:42:39,,,,payments,2026-05-03 23:00:00
txn_b89f3a92,usr_06998731,ses_243012da,prd_797ebe87,169.83,USD,completed,2026-05-03 20:14:36,2026-05-03 20:14:36,,,,payments,2026-05-03 23:00:00
txn_f0f7ad22,usr_01fa964e,ses_502cf0ee,prd_b91e3d6e,114.25,USD,completed,2026-05-03 15:16:58,2026-05-03 15:16:58,,,,payments,2026-05-03 23:00:00
txn_d8d994b8,usr_f0e98b3b,ses_bc69c155,prd_7bf33a34,41.15,USD,completed,2026-05-03 23:41:13,2026-05-03 23:41:13,,,,payments,2026-05-03 23:00:00
txn_34981735,usr_f0e98b3b,ses_bc69c155,prd_ff84faef,146.04,USD,completed,2026-05-03 23:49:51,2026-05-03 23:49:51,,,,payments,2026-05-03 23:00:00
txn_304b2370,usr_1d2324e6,,prd_90494583,173.28,USD,completed,2026-05-03 21:56:47,2026-05-03 21:56:47,,,,payments,2026-05-03 23:00:00
txn_a56b61e0,usr_2a131c1f,ses_7466ef02,prd_5716dc2e,181.34,USD,completed,2026-05-03 12:45:10,2026-05-03 12:45:10,,,,payments,2026-05-03 23:00:00
txn_cb35097a,usr_892e6161,ses_d038e153,prd_1f33242d,48.09,USD,completed,2026-05-03 10:50:13,2026-05-03 10:50:13,,,,payments,2026-05-03 23:00:00
txn_90ce82e8,usr_e8e6e840,ses_7f0386fa,prd_97fe56c5,131.29,USD,completed,2026-05-04 19:11:39,2026-05-04 19:11:39,,,,payments,2026-05-04 23:00:00
txn_453b45fe,usr_8d2238e6,ses_47a2a10b,prd_41a64fed,65.03,USD,completed,2026-05-04 10:27:36,2026-05-04 10:27:36,,,,payments,2026-05-04 23:00:00
txn_98dc9e0b,usr_39681c81,ses_b69f75c5,prd_cdd0b4d4,130.24,USD,completed,2026-05-02 06:48:29,2026-05-02 06:48:29,,,,payments,2026-05-04 23:00:00
txn_cf89569d,usr_5eddbbbf,ses_e886a011,prd_ff84faef,146.04,USD,completed,2026-05-04 18:14:35,2026-05-04 18:14:35,,,,payments,2026-05-04 23:00:00
txn_cf03f0c8,usr_83f02dc7,ses_183fea70,prd_b91e3d6e,114.25,USD,completed,2026-05-04 14:54:41,2026-05-04 14:54:41,,,,payments,2026-05-04 23:00:00
txn_5b80b8d1,usr_f4dbca07,ses_4aab47b2,prd_7bf33a34,41.15,USD,completed,2026-05-04 23:46:44,2026-05-04 23:46:44,,,,payments,2026-05-04 23:00:00
txn_3b964c74,usr_04fc6d82,ses_2ab8bd33,prd_a723fb72,155.1,USD,completed,2026-05-04 16:35:15,2026-05-04 16:35:15,,,,payments,2026-05-04 23:00:00
txn_3f738f50,usr_3985fb62,ses_97867b12,prd_c3affcfe,153.63,USD,completed,2026-05-04 20:51:23,2026-05-04 20:51:23,,,,payments,2026-05-04 23:00:00
txn_889fe107,usr_23377bbc,,prd_e0723d96,210.77,USD,partially_refunded,2026-05-04 23:32:49,2026-05-06 14:00:00,128.24,2026-05-06 14:00:00,fraud,payments,2026-05-06 23:00:00
txn_bcaff931,usr_adedda80,ses_94ad6252,prd_ff84faef,146.04,USD,completed,2026-05-04 05:34:27,2026-05-04 05:34:27,,,,payments,2026-05-04 23:00:00
txn_2d761ffa,usr_6c006f61,ses_8089b8c5,prd_ff84faef,146.04,USD,completed,2026-05-05 03:55:36,2026-05-05 03:55:36,,,,payments,2026-05-05 23:00:00
txn_963dc8bf,usr_f0e98b3b,ses_afe9be90,prd_1f33242d,48.09,USD,completed,2026-05-05 04:25:23,2026-05-05 04:25:23,,,,payments,2026-05-05 23:00:00
txn_29dc073e,usr_adedda80,ses_07692583,prd_24108e9a,103.59,USD,completed,2026-05-05 11:16:29,2026-05-05 11:16:29,,,,payments,2026-05-05 23:00:00
txn_bfbbeab3,usr_b34191b8,ses_493d6196,prd_24108e9a,103.59,USD,completed,2026-05-05 23:56:29,2026-05-05 23:56:29,,,,payments,2026-05-05 23:00:00
txn_48fa4e98,usr_cc3ebdde,ses_d2efa93b,prd_797ebe87,169.83,USD,completed,2026-05-05 11:31:56,2026-05-05 11:31:56,,,,payments,2026-05-05 23:00:00
txn_29b44cb1,usr_3f07f814,ses_620f230b,prd_4926ce5f,139.24,USD,completed,2026-05-05 16:40:26,2026-05-05 16:40:26,,,,payments,2026-05-05 23:00:00
txn_f704d72f,usr_9fd34579,ses_79ec533c,prd_5716dc2e,181.34,USD,completed,2026-05-05 16:37:02,2026-05-05 16:37:02,,,,payments,2026-05-05 23:00:00
txn_a5bab050,usr_32399ffb,,prd_e0723d96,210.77,USD,completed,2026-05-05 11:56:04,2026-05-05 11:56:04,,,,payments,2026-05-05 23:00:00
txn_44e2a94b,usr_4f560ed5,ses_0fc79913,prd_24108e9a,103.59,USD,completed,2026-05-05 01:58:53,2026-05-05 01:58:53,,,,payments,2026-05-05 23:00:00
txn_052226b9,usr_9fd34579,ses_79ec533c,prd_ff84faef,146.04,USD,refunded,2026-05-05 16:22:07,2026-05-07 14:00:00,146.04,2026-05-07 14:00:00,duplicate_charge,payments,2026-05-07 23:00:00
txn_6bf7240f,usr_9fd34579,ses_6d0e0597,prd_c3affcfe,153.63,USD,completed,2026-05-06 22:59:31,2026-05-06 22:59:31,,,,payments,2026-05-06 23:00:00
txn_2ab202c2,usr_9e50aa42,ses_948f664a,prd_30d73df7,64.99,USD,completed,2026-05-06 05:21:30,2026-05-06 05:21:30,,,,payments,2026-05-06 23:00:00
txn_b9f6143b,usr_ebff8d15,ses_4b356e9a,prd_a723fb72,155.1,USD,completed,2026-05-06 13:12:08,2026-05-06 13:12:08,,,,payments,2026-05-06 23:00:00
txn_d8274fc3,usr_adedda80,ses_74dfb83f,prd_24108e9a,103.59,USD,completed,2026-05-04 01:37:13,2026-05-04 01:37:13,,,,payments,2026-05-06 23:00:00
txn_e9462820,usr_5e2ad32d,ses_1a4b1606,prd_83c501cb,170.94,USD,completed,2026-05-06 23:08:51,2026-05-06 23:08:51,,,,payments,2026-05-06 23:00:00
txn_91a646da,usr_d7fa2d8d,ses_dcc5d975,prd_7f7f6c0a,237.47,USD,completed,2026-05-06 23:21:14,2026-05-06 23:21:14,,,,payments,2026-05-06 23:00:00
txn_9c7faca6,usr_5e2ad32d,ses_1a4b1606,prd_7bf33a34,41.15,USD,completed,2026-05-06 22:59:12,2026-05-06 22:59:12,,,,payments,2026-05-06 23:00:00
txn_9c81fc46,usr_e8e6e840,ses_0c472187,prd_cdd0b4d4,130.24,USD,completed,2026-05-06 10:08:23,2026-05-06 10:08:23,,,,payments,2026-05-06 23:00:00
txn_e1446b45,usr_9fd34579,ses_6d0e0597,prd_41a64fed,65.03,USD,completed,2026-05-06 23:03:12,2026-05-06 23:03:12,,,,payments,2026-05-06 23:00:00
txn_e44a913a,usr_80bbae52,ses_d0e656e5,prd_b91e3d6e,114.25,USD,completed,2026-05-06 13:21:36,2026-05-06 13:21:36,,,,payments,2026-05-06 23:00:00
txn_758fc8fa,usr_96a402f2,,prd_797ebe87,169.83,USD,completed,2026-05-07 01:58:33,2026-05-07 01:58:33,,,,payments,2026-05-07 23:00:00
txn_1667c518,usr_287d06ca,ses_f1eab64a,prd_83c501cb,170.41,USD,completed,2026-05-07 22:49:32,2026-05-07 22:49:32,,,,payments,2026-05-07 23:00:00
txn_cb51a911,usr_812a1f9b,ses_ab95c72f,prd_b91e3d6e,114.25,USD,completed,2026-05-07 03:42:57,2026-05-07 03:42:57,,,,payments,2026-05-07 23:00:00
txn_9330ba83,usr_06998731,ses_9a7791a2,prd_ff84faef,146.04,USD,completed,2026-05-07 05:09:53,2026-05-07 05:09:53,,,,payments,2026-05-07 23:00:00
txn_4236c0bf,usr_5fbbf0b1,,prd_797ebe87,169.83,USD,completed,2026-05-07 04:18:26,2026-05-07 04:18:26,,,,payments,2026-05-07 23:00:00
txn_a155eb2c,usr_f4dbca07,,prd_a723fb72,155.1,USD,completed,2026-05-07 22:30:48,2026-05-07 22:30:48,,,,payments,2026-05-07 23:00:00
txn_0452f779,usr_5e2ad32d,ses_7210045a,prd_7f7f6c0a,237.47,USD,completed,2026-05-07 12:07:33,2026-05-07 12:07:33,,,,payments,2026-05-07 23:00:00
txn_88eae7d4,usr_7cf59d5f,ses_37ec07a6,prd_7f7f6c0a,237.47,USD,completed,2026-05-07 11:27:37,2026-05-07 11:27:37,,,,payments,2026-05-07 23:00:00
txn_9e4c24dd,usr_92ec89af,ses_be0ec2da,prd_97fe56c5,131.29,USD,completed,2026-05-08 00:09:00,2026-05-08 00:09:00,,,,payments,2026-05-07 23:00:00
txn_95ea6825,usr_b118f68d,ses_214c0a4d,prd_7f7f6c0a,237.47,USD,completed,2026-05-07 16:43:16,2026-05-07 16:43:16,,,,payments,2026-05-07 23:00:00
